factory_industrial_part_left_02,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,outside_metal_door_01_close,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left_02
factory_industrial_part_top,garden_tree_11,,garden_dirty_1,garden_grass_3,,,,,garden_dirty_2,,,,garden_grass_3,factory_industrial_part_top
factory_industrial_part_top,,@@,@@,door_02_close,@@,@@,@@,military_crate,@@,@@,@@,@@,garden_dirty_1,factory_industrial_part_top
factory_industrial_part_top,garden_dirty_2,@@,medical_cupboard_01,,house_stove,house_cupboard_01,@@,factory_industrial_pipe_middle,@@,house_shink,house_toilet_left,@@,garden_grass_1,factory_industrial_part_top
outside_metal_door_01_close,,@@,lab_cupboard_01,,,house_fridge,@@,factory_industrial_part_left,@@,,house_bath_left,@@,,outside_metal_door_01_close
factory_industrial_part_top,garden_dirty_1,@@,house_table,,,,,outside_metal_door_01_open,,,misc_barrel,@@,garden_dirty_2,factory_industrial_part_top
factory_industrial_part_top,garden_grass_1,@@,house_wardrobe,,house_library,house_bed_left,@@,factory_industrial_part_left,military_radio,@@,@@,@@,,factory_industrial_part_top
factory_industrial_part_top,,@@,@@,@@,@@,@@,@@,military_crate,@@,@@,factory_industrial_pipe_valve,factory_industrial_pipe_right,garden_dirty_2,factory_industrial_part_top
factory_industrial_part_top,garden_dirty_1,garden_grass_1,,,garden_dirty_1,,garden_grass_1,,garden_dirty_2,garden_dirty_1,,garden_grass_3,garden_tree_11,factory_industrial_part_top
factory_industrial_part_left_02,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,outside_metal_door_01_close,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left_02
