,,garden_tree_8,,garden_tree_6,garden_dirty_1,,,,
garden_tree_3,garden_dirty_2,garden_tree_8,garden_stone,garden_stone,garden_tree_6,garden_tree_8,wall_01_broke,garden_grass_3,
garden_grass_3,,wall_01_part_right,@,@,@,@,@,wall_01_part_left,garden_stone
garden_tree_3,wall_01_broke,@,garden_stone,,garden_grass_3,,,@,
,garden_grass_3,@,,,,,garden_grass_1,@,garden_tree_3
,garden_dirty_1,dirty_right_01,garden_grass_1,,L2,,,@,
,garden_stone,@,,,,,garden_grass_3,@,garden_tree_10
garden_dirty_1,garden_grass_1,@,misc_dead,,garden_grass_3,,garden_stone,@,garden_dirty_2
,garden_stone,wall_01_part_right_top,@,@,@,@,@,wall_01_part_left_top,
garden_dirty_2,,garden_tree_8,garden_grass_1,,garden_tree_8,,wall_01_broke,garden_tree_10,
