 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , ,garden_tall_grass, , , ,garden_stone, , , , , , , , , , , , , ,garden_grass_1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,garden_stone, , , , , 
 , , , , , , , , , , , , , , , , , , ,garden_tall_grass, , , ,garden_grass_1, , ,garden_grass_1, , , ,garden_tree_11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,garden_stone_iron, , , , , , , 
 , , , , , , , , , ,garden_grass_1,garden_grass_1, , ,garden_grass_3, , ,garden_tall_grass, , ,garden_grass_1, , ,garden_tall_grass,garden_stone_iron, ,misc_sign,misc_sign, ,garden_stone_powder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,wall_01_part_right_top,@,@,@,factory_industrial_pipe_left,factory_industrial_pipe_right, , , , , , , 
 , , , , , , , , , , ,@,@,@,@, , ,outside_metal_fence_1,garden_stone_powder,garden_tall_grass, ,wall_01_broke, , , ,garden_stone_iron, , ,garden_grass_3,garden_stone, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,garden_tall_grass,garden_grass_3,outside_metal_door_01_close,military_crate,@,factory_industrial_pipe_left,factory_industrial_pipe_right, , , , , , , 
 , , , , , , , , , , ,garden_tree_11, , ,@, , ,outside_metal_fence_1, , ,garden_grass_2, , , ,outside_metal_fence_1,@,@,outside_metal_fence_1,garden_grass_3, , ,garden_grass_1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,outside_metal_fence_1,outside_metal_fence_1,@,wall_01_broke,garden_grass_1, , ,garden_stone_iron, , , , 
 , , , , , , , , , , ,garden_tree_11, , ,window_01_broke, , ,outside_metal_fence_1,garden_grass_3,wall_01_broke, , ,@,garden_stone, , , , , ,garden_stone_powder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,garden_grass_1,garden_stone_powder,wall_01_part_left_top, , , , , , , , , 
 , , , , , , , , , ,misc_sign,misc_blood, ,garden_stone,@,misc_blood, ,outside_wooden_fence_1,garden_grass_2, , ,garden_grass_2,@, ,garden_stone_powder, ,garden_tall_grass, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,garden_grass_3, ,garden_tall_grass, , , , 
 , , , , , , , , , ,misc_sign, , ,misc_dead,@,crate,garden_grass_3,outside_wooden_fence_1, ,garden_grass_2,@,@,@,wall_01_broke, , ,garden_grass_2,misc_blood, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,garden_tree_11, , , , , , , , , , , 
 , , , , , , , , , , , , , ,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1, , ,@,crate, , , , ,garden_grass_1,wall_01_part_right,@, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
