 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,garden_tree_16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,garden_tree_16, , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,garden_tree_16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,garden_tree_16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,garden_tree_16, , , , ,garden_tree_16,garden_dirty_2, , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,garden_tree_16, , , , , , , , , ,garden_tree_16, , ,garden_tree_16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,garden_tree_16, , , , ,garden_tree_16, ,garden_tree_16, , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,garden_tree_16,garden_tree_16, , , , , , , , , , , , , , , , , , , , , , , , ,garden_dirty_1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,garden_tree_16, , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,garden_dirty_1,garden_tall_grass,garden_tree_1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,garden_stone,garden_tall_grass,garden_stone,garden_tree_16, , , ,garden_dirty_1, , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , ,garden_tree_16, , , ,garden_tree_16, , , , , , , , , , , , ,garden_tall_grass,garden_stone,garden_stone,garden_dirty_1, , , , , , , , , , ,garden_tree_16, , , , , , , , , , , , , , , , , , , , ,garden_tree_16, , , , , , , , , , , ,garden_dirty_2, , , , , , , , , , , , , , , , , ,garden_stone, ,garden_tall_grass, , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,garden_grass_3,garden_grass_3,garden_dirty_1,garden_tree_1,garden_tall_grass,garden_grass_2,garden_grass_2, , , , , , ,garden_dirty_4, , , , ,garden_dirty_4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,bg_grass, , ,garden_stone,garden_tree_1,garden_stone,garden_tree_1,garden_grass_2, , , , , , , , , , , , , , , , , , , , 
