beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01
beach_sand_01,beach_sand_01,beach_sand_01,bg,bg,bg,bg,bg,beach_sand_01,beach_sand_01
beach_sand_01,beach_sand_01,beach_sand_01,bg,bg,bg,bg,bg,beach_sand_01,beach_sand_01
beach_sand_01,beach_sand_01,beach_sand_01,bg,house_floor_01,house_floor_01,house_floor_01,bg,beach_sand_01,beach_sand_01
beach_sand_01,beach_sand_01,beach_sand_01,bg,house_floor_01,house_floor_01,house_floor_01,bg,beach_sand_01,beach_sand_01
beach_sand_01,beach_sand_01,beach_sand_01,bg,bg,bg,bg,bg,beach_sand_01,beach_sand_01
beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01
beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01
beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01
beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01,beach_sand_01
