,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,wall_01_part_right,factory_industrial_part_top_02,factory_industrial_part_top_02,factory_industrial_part_left,@@,wall_glass_01,wall_glass_01,wall_glass_01,@@,factory_industrial_pipe_left,factory_industrial_pipe_middle,factory_industrial_pipe_middle,factory_industrial_pipe_right,factory_industrial_pipe_left,factory_industrial_pipe_middle,factory_industrial_pipe_middle,factory_industrial_pipe_right,@@,wall_glass_01,wall_glass_01,wall_glass_01,@@,factory_industrial_part_top_02,wall_01_part_left,,,,,
wall_01_part_right,wall_01_part_left_top,misc_oil_pump_01,,,wall_glass_01,medical_cupboard_01,house_table,house_computer,wall_glass_01,crate,road_curve_top_01,road_top_01,road_sewer_top_01,road_sewer_top_01,road_top_01,road_curve_bottom_01,misc_barrel,@@,house_fridge,store_sale_02,store_sale_01,@@,house_shink,wall_01_part_right_top,@,wall_01_part_left,,,
misc_chainwheel_left_right,misc_chainwheel_left_right,misc_chainwheel_left_right,factory_industrial_pipe_right,,wall_glass_01,,house_bench,lab_cupboard_01,wall_glass_01,crate,road_sewer_left_01,,,,,road_sewer_right_01,misc_barrel,@@,house_cupboard_01,,,@@,,,house_bench,wall_01_part_right_top,@,wall_01_part_left,
misc_chainwheel_left_right,misc_chainwheel_left_right,misc_chainwheel_left_right,factory_industrial_pipe_right,,wall_glass_01,,,military_radio,wall_glass_01,military_crate,road_sewer_left_01,,,,,road_sewer_right_01,misc_barrel,@@,house_stove,,,@@,,,house_table,factory_industrial_pipe_left,factory_industrial_pipe_holder,@,
misc_chainwheel_left_right,misc_chainwheel_left_right,misc_chainwheel_left_right,factory_industrial_pipe_right,,@@,door_02_open,window_02_open,@@,@@,military_crate,road_curve_left_01,road_bottom_01,road_bottom_01,road_bottom_01,road_bottom_01,road_curve_right_01,misc_barrel,@@,@@,window_02_open,door_02_close,@@,,,house_bench,wall_01_part_right,@,wall_01_part_left_top,
wall_01_part_right_top,wall_01_part_left,misc_oil_pump_02,,,road_curve_left_01,road_bottom_01,road_bottom_01,road_bottom_01,road_bottom_01,road_bottom_01,road_bottom_01,road_bottom_01,,,road_bottom_01,road_bottom_01,road_bottom_01,road_bottom_01,road_bottom_01,road_bottom_01,road_bottom_01,road_curve_right_01,,wall_01_part_right,@,wall_01_part_left_top,,,
,wall_01_part_right_top,factory_industrial_part_top_02,factory_industrial_part_top_02,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_top_02,factory_industrial_pipe_holder,factory_industrial_pipe_middle,factory_industrial_pipe_right,tp_boat,tp_boat,factory_industrial_part_top_02,outside_metal_door_01_close,factory_industrial_part_top_02,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_top_02,factory_industrial_part_top_02,wall_01_part_left_top,,,,,
,,,,,,,,,,,,,,,factory_industrial_part_top,,factory_industrial_part_top,,,,,,,,,,,,
,,,,,,,,,,,,,,,factory_industrial_part_top,,factory_industrial_part_top,,,@@,@@,@@,@@,@@,@@,@@,,,
,,,,,,,,,,,,,,,factory_industrial_part_top,,factory_industrial_part_top,,,@@,house_fridge,house_shink,@@,house_toilet,house_bath,@@,,,
